//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
7(5) Allemand (Liechtenstein);10(1) Espagnol (traditionnel);9(1) Anglais (États-Unis);12(1) Français (France);
3680;Error de tiempo; @5W%t#A02A-SCALANCE_X200-20100120@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;
20064;Ayuda: Error de tiempo; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Aide : erreur de temporisation; @5W%t#A02A-SCALANCE_X200-20100120@;
2632;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
19016;Se ha configurado un gateway predeterminado como mínimo para otro interface. Este gateway es distinto de lo especificado para este interface. 
Atención: en este dispositivo no está claro cuál de los gateways predeterminados configurados se utilizará.;A standard gateway has been configured for at least one additional interface that differs from the one specified.
Caution: For this device it is not clear which of the configured standard gateways will be active.;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
Attention : Il n'est pas possible de dire quel routeur par défaut sera utilisé pour cet appareil !;
2633;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
19017;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dispositivo idéntico al especificado para esta interfaz.;A NameOfStation which is identical to the specification for this interface has already been configured/specified for another interface of this module.;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce module. Il est identique au nom par défaut de cette interface.;
2634;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
19018;Para otra interfaz ya se ha configurado/asignado una dirección IP que se encuentra en la misma subred que la dirección IP de esta interfaz.;An IP address which is in the same subnet as the IP address of this interface has already been configured/assigned for another interface.;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se trouve dans le même sous-réseau que l'adresse IP de cette interface.;
14928;sin alimentación el. redundante;No redundant PS;Pas d'alimentation redondante;
31312;Alarma entrante, si no existe alimentación el. redundante;Alarm entering state when there is no redundant PS;Alarme arrivante en l'absence d'alimentation redondante;
14930;No existe C-PLUG;C-PLUG not found;C-PLUG introuvable;
31314;Alarma entrante, si no se ha enchufado C-PLUG;Alarm entering state when no C-PLUG was inserted;Alarme arrivante en l'absence de C-PLUG;
14932;C-PLUG defectuoso;C-PLUG defective;C-PLUG défectueux;
31316;Alarma entrante, si el C-PLUG está defectuoso;Alarm entering state when C-PLUG is defective;Alarme arrivante lorsque le C-PLUG est défectueux;
14934;erróneo C-PLUG;wrong C-PLUG;Le C-PLUG est incorrect;
31318;Alarma entrante si se ha enchufado erróneo C-PLUG;Incoming alarm when wrong C-PLUG is plugged in;Alarme apparaissante si aucun C-PLUG n'a incorrect;
8256;;;;
24640;;;;
11648;Cortocircuito;Short circuit;Court-circuit;
28032;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
15040;Baja tensión;Low voltage;Sous-tension;
31424;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
2120;Sobretensión;Overvoltage;Surtension;
18504;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
5512;Sobrecarga;Overload;Surcharge;
21896;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
8904;Sobretemperatura;Overtemperature;Surchauffe;
25288;Compruebe los datos técnicos de los componentes conectados.;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
12296;Rotura de hilo;Wire break;Rupture de fil;
28680;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
15688;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
32072;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
2768;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
19152;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
6160;Fallo;Error;Erreur;
22544;;;;
9552;Simulación activa;Simulation active;Simulation active;
25936;;;;
12944;Reservado;Reserved;réservé;
29328;;;;
24;Reservado;Reserved;réservé;
16408;;;;
3416;Reservado;Reserved;réservé;
19800;;;;
6808;Reservado;Reserved;réservé;
23192;;;;
10200;Falta el parámetro;Parameter missing;Paramètre manquant;
26584;;;;
13592;Error parametrización;Parameter assignment error;Erreur de paramétrage;
29976;Causa posible: módulo defectuoso o parametrizado incorrectamente. Remedio: corregir parametrización.;Possible Cause: Module either not at all or incorrectly assigned parameters.  Error remedy: Correct the parameter assignment.;Cause possible : Le module n'est pas paramétré ou est mal paramétré.  Solution : corrigez le paramétrage.;
672;Falta el conector flontal o la alimentación del sensor o la tensión de carga.;Front connector missing, sensor or load voltage missing;Le connecteur frontal, la tension de capteur ou de charge manque.;
17056;Causa posible: falta tensión de alimentación o es insuficiente. Solución: corregir el cableado de proceso. Comprobar tensión de alimentación.;Possible cause: Supply voltage missing or too low.  Remedy: Check front connector. Correct the process wiring. Check the supply voltage.;Cause possible : La tension d'alimentation manque ou est trop basse.  Solution : Vérifier le connecteur frontal. Corriger le câblage au processus. Vérifier la tension d'alimentation.;
4064;Fusible defectuoso.;Fuse defective;Fusible défectueux.;
20448;Causa posible: fallo del fusible repuesto por el operario. Remedio: cambiar fusible.;Possible Cause: User's replaceable fuse fallen.  Error remedy: Exchange the fuse.;Cause possible : Le fusible échangeable par l'utilisateur est tombé.  Solution : Remplacement du fusible.;
7456;Fallo de comunicación;Communication error;Erreur de communication;
23840;Causa posible: interrupción de la comunicación con el módulo. Remedio: comprobar parámetro de dirección.;Possible Cause: Communication to the module interrupted. Error remedy: Check the address parameter.;Cause possible : Communication au module perturbée.  Solution : vérifiez le paramètre de l'adresse.;
10848;Error de masa;Ground error;Erreur de masse;
27232;Causa posible: se ha excedido el modo Common en canales sin separación galvánica o bien rotura del cable de masa en canales con separación galvánica. Remedio: corrección del cableado de proceso.;Possible Cause: Exceeding the allowable common mode at non-isolated channels or chopping the ground line for non-isolated channels. Error remedy: Correct the process wiring.;Cause possible : Dépassement du Common Mode admissible pour les voies liées à la masse ou coupure de la ligne à la masse pour les voies avec séparation galvanique.  Solution : Correction du câblage au processus.;
14240;Error canal referencia;Reference channel error;Erreur sur voie de référence;
30624;Causa posible error en el canal de referencia.  Remedio: comprobar módulo de referencia (2AI RTD ST).;Possible Cause: Error on the reference channel. Error remedy: Check the reference module (2AI RTD ST).;Cause possible : Erreur sur voie de référence.  Solution : vérifiez le module de référence (2AI RTD ST).;
1320;Pérdida alarma de proceso o error de aviso;Process interrupt lost or message error;Alarme de processus perdue ou erreur de message;
17704;Causa posible: error de marco, error de paridad. Remedio: comprobar ajustes de comunicación.;Possible Cause: Frame error, parity error. Error remedy: Check the communication settings.;Cause possible : Erreur de cadre, erreur de parité.  Solution : vérifiez les options de communication.;
4712;Advertencia;Warning;Avertissement;
21096;Causa posible: se han excedido los valores límites de actuador (velocidad, intensidad de carga).  Remedio: corregir concordancia.;Possible Cause: Exceeding the actuator limit value (rotational speed, load current). Error remedy: Correct the tuning.;Cause possible : Dépassement des seuils d'actionneur (vitesse, courant de charge).  Solution : correction de la justesse des paramètres.;
8104;Desconexión;Shutoff;Arrêt;
24488;Causa posible: liberación del interruptor automático por cortocircuito, asimetría o  defecto a tierra, o bien liberación de termistor o Quick-Stop.  Remedio: solución de la causa de desconexión y acusar.;Possible Cause: Trigger a line switch due to short circuit, or asymmetry or ground fault or trigger a Thermistor or Quick Stop. Error remedy: Eliminate the cause of the shutoff and acknowledge.;Cause possible : Déclenchement d'un disjoncteur à cause d'un court-circuit, d'une disymmétrie, d'un défaut à la terre ou déclenchement d'une thermistance ou Quick-Stop.  Solution : supprimez la cause de l'arrêt et acquittez.;
11496;Desconexión de seguridad;Fail-safe shutoff;Arrêt de sécurité;
27880;Causa posible: liberación de desconexión de seguridad.  Remedio: solucionar causa de desconexión y acusar.;Possible Cause: Trigger for fail-safe shutoff is present.  Error remedy: Eliminate the cause of the shutoff and acknowledge.;Cause possible : Présence d'un déclencheur d'arrêt de sécurité.  Solution : corrigez la cause de l'arrêt et acquittez.;
14888;Fallo externo;external error;Erreur externe;
31272;Causa posible: rotura de cable o cortocircuito de la señales de sensor o bien el cable de sensor no está conectado, o bien los ajutes del sensor programable no coinciden con los del módulo. Remedio: cambiar sensor, corregir cableado de proceso, corregir pa;Possible Cause: Wire break or short circuit of the  encoder signal or encoder cable not connected or programmable encoders do not correspond to the settings on the module. Error remedy: exchange the encoder, correct the process wiring, correct the paramete;Cause possible : Rupture de fil ou court-circuit des signaux du capteur ou câble du capteur non raccordé ou capteurs programmables ne correspondent pas aux options sur le module.  Solution : Remplacement du capteur, correction du câblage au processus , cor;
